Start date,Start time,End date,End time ,Total hour ,Pay
,,,,,
04/18/20,0415PM,04/18/20,0415PM,0,$ 0.0
,,,,,
Start date,Start time,End date,End time ,Total hour ,Pay
,,,,,
04/18/20,04:21PM,04/18/20,05:21AM,1,$ 5.0
,,,,,
Start date,Start time,End date,End time ,Total hour ,Pay
,,,,,
05/18/20,04:23AM,05/18/20,04:23AM,0,$ 0.0
,,,,,
Start date,Start time,End date,End time ,Total hour ,Pay
,,,,,
05/18/20,04:23AM,05/18/20,04:23AM,0,$ 0.0
Start date,Start time,End date,End time ,Total hour ,Pay
05/18/20,04:26AM,05/18/20,04:26AM,0.0,$ 0.0
